Category,Company,Ticker,Fiscal Year,Revenue ($B),Net Income ($B),Asset Efficiency
Bank,Bank of America,BAC,2024-12-31,101.887,27.132,0.031239125082515234
Bank,JPMorgan Chase,JPM,2024-12-31,,58.471,
Bank,Wells Fargo,WFC,2024-12-31,,19.722,
Investment Manager,Goldman Sachs,GS,2024-12-31,,14.276,
Investment Manager,Morgan Stanley,MS,2024-12-31,,13.39,
Operating Company,Walmart,WMT,2025-01-31,674.538,19.436,2.586190635028353
Operating Company,Apple,AAPL,2025-09-27,416.161,112.01,1.1584451663368045
Operating Company,Alphabet,GOOGL,2024-12-31,350.018,100.118,0.7773755374720159
Operating Company,ExxonMobil,XOM,2024-12-31,349.585,33.68,0.7709024753294007
Operating Company,Microsoft,MSFT,2025-06-30,281.724,101.832,0.4551254194244616
Operating Company,Chevron,CVX,2024-12-31,193.414,17.661,0.752765258544863
Operating Company,Ford,F,2024-12-31,184.992,2.451,0.6486486486486487
Operating Company,Meta Platforms,META,2024-12-31,164.501,62.36,0.5959015265129286
Operating Company,NVIDIA,NVDA,2025-01-26,130.497,72.88,1.169317479234057
Operating Company,PepsiCo,PEP,2024-12-28,91.854,9.578,0.9234620527411102
Operating Company,Johnson & Johnson,JNJ,2024-12-29,88.821,14.066,0.49316506018744727
Operating Company,Boeing,BA,2024-12-31,66.517,-11.817,0.4254011498884007
Operating Company,Caterpillar,CAT,2024-12-31,64.809,,0.7384462877717515
Operating Company,Merck,MRK,2024-12-31,64.168,17.117,0.5479480129113794
Operating Company,Pfizer,PFE,2024-12-31,63.627,8.031,0.2981639768318057
Operating Company,Oracle,ORCL,2025-05-31,57.399,12.443,0.3409281246844578
Operating Company,Cisco Systems,CSCO,2025-07-26,56.654,10.18,0.4632720314659296
Operating Company,AbbVie,ABBV,2024-12-31,56.334,4.278,0.4167918260444951
Operating Company,Intel,INTC,2025-12-27,52.853,-0.267,0.24997989868939455
Operating Company,Coca-Cola,KO,2024-12-31,47.061,10.631,0.46804045788620474
Operating Company,Eli Lilly,LLY,2024-12-31,45.0427,10.59,0.5722258428836218
Operating Company,General Electric,GE,2024-12-31,38.702,6.556,0.31429267500406044
Operating Company,Honeywell,HON,2024-12-31,38.498,5.705,0.5119687217405181
Operating Company,Southern Company,SO,2024-12-31,26.724,0.53,0.18407494145199063
Operating Company,McDonald's,MCD,2024-12-31,25.92,8.223,0.46971838643035774
Operating Company,Advanced Micro Devices,AMD,2024-12-28,25.785,1.641,0.3724756594343166
Operating Company,3M,MMM,2024-12-31,24.575,4.173,0.6164091501956457
Operating Company,NextEra Energy,NEE,2024-12-31,,6.946,
