Company,Ticker,Industry,Business Category,Fiscal Year,Total Revenue ($B),Net Income ($B),Total Assets ($B),Operating Cash Flow ($B),Net Margin %
Walmart,WMT,Retail-Variety Stores,Operating Company,2025-01-31,674.538,19.436,260.823,36.443,2.881379551633859
Apple,AAPL,Electronic Computers,Operating Company,2025-09-27,416.161,112.01,359.241,111.482,26.91506412181824
Alphabet,GOOGL,"Services-Computer Programming, Data Processing, Etc.",Operating Company,2024-12-31,350.018,100.118,450.256,125.299,28.603671811164
ExxonMobil,XOM,Petroleum Refining,Operating Company,2024-12-31,349.585,33.68,453.475,55.022,9.634280647052934
Microsoft,MSFT,Services-Prepackaged Software,Operating Company,2025-06-30,281.724,101.832,619.003,136.162,36.146015248967075
Chevron,CVX,Petroleum Refining,Operating Company,2024-12-31,193.414,17.661,256.938,31.492,9.131190089652248
Ford,F,Motor Vehicles & Passenger Car Bodies,Operating Company,2024-12-31,184.992,2.451,285.196,15.423,1.324922158796056
Meta Platforms,META,"Services-Computer Programming, Data Processing, Etc.",Operating Company,2024-12-31,164.501,62.36,276.054,91.328,37.90858414234564
NVIDIA,NVDA,Semiconductors & Related Devices,Operating Company,2025-01-26,130.497,72.88,111.601,64.089,55.848027157712444
Bank of America,BAC,National Commercial Banks,Bank,2024-12-31,101.887,27.132,3261.519,-8.805,26.62950131027511
PepsiCo,PEP,Beverages,Operating Company,2024-12-28,91.854,9.578,99.467,12.507,10.427417423302197
Johnson & Johnson,JNJ,Pharmaceutical Preparations,Operating Company,2024-12-29,88.821,14.066,180.104,24.266,15.836345008500242
Boeing,BA,Aircraft,Operating Company,2024-12-31,66.517,-11.817,156.363,-12.08,-17.765383285475895
Caterpillar,CAT,Construction Machinery & Equip,Operating Company,2024-12-31,64.809,,87.764,12.035,
Merck,MRK,Pharmaceutical Preparations,Operating Company,2024-12-31,64.168,17.117,117.106,21.468,26.675289864106723
Pfizer,PFE,Pharmaceutical Preparations,Operating Company,2024-12-31,63.627,8.031,213.396,12.744,12.62200009429959
Oracle,ORCL,Services-Prepackaged Software,Operating Company,2025-05-31,57.399,12.443,168.361,20.821,21.678078015296435
Cisco Systems,CSCO,Computer Communications Equipment,Operating Company,2025-07-26,56.654,10.18,122.291,14.193,17.968722420305717
AbbVie,ABBV,Pharmaceutical Preparations,Operating Company,2024-12-31,56.334,4.278,135.161,18.806,7.59399297049739
Intel,INTC,Semiconductors & Related Devices,Operating Company,2025-12-27,52.853,-0.267,211.429,9.697,-0.5051747299112632
Coca-Cola,KO,Beverages,Operating Company,2024-12-31,47.061,10.631,100.549,6.805,22.589830220352308
Eli Lilly,LLY,Pharmaceutical Preparations,Operating Company,2024-12-31,45.0427,10.59,78.7149,8.8179,23.5110239839086
General Electric,GE,Electronic & Other Electrical Equipment (No Computer Equip),Operating Company,2024-12-31,38.702,6.556,123.14,4.71,16.939693039119426
Honeywell,HON,Aircraft Engines & Engine Parts,Operating Company,2024-12-31,38.498,5.705,75.196,6.097,14.81895163385111
Southern Company,SO,Electric Services,Operating Company,2024-12-31,26.724,0.53,145.18,9.788,1.9832360425086064
McDonald's,MCD,Retail-Eating  Places,Operating Company,2024-12-31,25.92,8.223,55.182,9.447,31.724537037037038
Advanced Micro Devices,AMD,Semiconductors & Related Devices,Operating Company,2024-12-28,25.785,1.641,69.226,3.041,6.364165212332752
3M,MMM,Surgical & Medical Instruments & Apparatus,Operating Company,2024-12-31,24.575,4.173,39.868,1.819,16.980671414038657
Goldman Sachs,GS,"Security Brokers, Dealers & Flotation Companies",Investment Manager,2024-12-31,,14.276,1675.972,-13.212,
JPMorgan Chase,JPM,National Commercial Banks,Bank,2024-12-31,,58.471,4002.814,-42.012,
Morgan Stanley,MS,"Security Brokers, Dealers & Flotation Companies",Investment Manager,2024-12-31,,13.39,1215.071,1.362,
NextEra Energy,NEE,Electric Services,Operating Company,2024-12-31,,6.946,190.144,13.26,
Wells Fargo,WFC,National Commercial Banks,Bank,2024-12-31,,19.722,1929.845,3.035,
